source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count,unresolvable_date_count
WI_COMMUNITY_MAPS,55,2013,55079,22626,22626,22626,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55081,1379,1379,1379,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55083,463,463,463,0,0,0,2013-01-01,2013-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55085,1068,1068,1068,0,0,0,2013-01-02,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55087,4170,4170,4170,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55089,1653,1653,1653,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55091,151,151,151,0,0,0,2013-01-03,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55093,595,595,595,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55095,714,714,714,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55097,1521,1521,1521,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55099,197,197,197,0,0,0,2013-01-04,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55101,4472,4472,4472,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55103,510,510,510,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55105,3912,3912,3912,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55107,318,318,318,0,0,0,2013-01-02,2013-12-29,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55109,2201,2201,2201,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55111,1772,1772,1772,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55113,322,322,322,0,0,0,2013-01-02,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55115,1413,1413,1413,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55117,2183,2183,2183,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55119,396,396,396,0,0,0,2013-01-02,2013-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
