alert_id,sent_utc,fips,state_fips,msg_type
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48221,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48141,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48175,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48255,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48157,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48299,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48209,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48245,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48061,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48391,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48021,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48035,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48441,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48049,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48149,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48249,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48507,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48429,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48407,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48199,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48267,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48161,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48385,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48405,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48321,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48477,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48081,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48281,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48165,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48431,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48419,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48471,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48403,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48413,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48399,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48109,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48103,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48031,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48007,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48217,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48177,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48115,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48427,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48383,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48463,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48377,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48099,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48243,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48187,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48453,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48071,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48435,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48489,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48285,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48329,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48331,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48475,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48025,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48261,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48043,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48347,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48019,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48029,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48323,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48145,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48291,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48395,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48033,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48105,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48455,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48289,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48215,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48251,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48293,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48241,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48167,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48297,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48355,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48213,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48247,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48013,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48335,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48123,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48301,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48259,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48091,48,Alert
