alert_id,msg_type
729c48b7-8248-4b16-bdce-ba3251ff3cbf,Alert
e1718a7b-2342-4487-85c5-2bb304ea69bc,Alert
f3ff4433-141b-4a3a-95a1-f19ddad2ee62,Alert
d8071f5a-e7bf-4e08-9fb6-39093b2f2b98,Cancel
0b1637fb-076c-4f4d-a946-42975e8de984,Cancel
f40544b0-ffe7-443b-aab8-fff1ad2c38aa,Alert
e8d1936c-66f0-43c8-a5f8-364a48b2d897,Alert
794bd300-e542-41f3-a373-22492cdd503d,Alert
7672d774-b9e3-4b54-b471-4af5ad36ad4f,Cancel
2dc77f3f-978a-4055-a94b-ccecb1d7e730,Cancel
95f7781f-3f91-49d3-8eb8-270865bd09b2,Update
f7ebbb8c-e335-410e-9822-f7d00e027633,Alert
fe732cfc-e897-40cb-84c7-712872e6ba76,Cancel
d5cad715-c75a-4d08-b5e6-976c04d0c57a,Alert
e3f7d64a-cfba-484b-98fa-3f18bb6ef79d,Alert
6b53754f-f681-40b3-8692-2b3b96f3a5d0,Cancel
2f639d3f-4a95-40bb-b732-6cd8ed3db405,Cancel
d64b3cbf-1505-41ac-b432-fd4ac8ed6968,Alert
ecd9a02a-74cb-430e-af7e-8a64c46e875d,Alert
b51cd23d-1c96-4f8d-a418-ad628cc0a6b0,Alert
c34a60fb-4dae-42c8-b9a1-b2c1b53798af,Cancel
ffd15022-5972-41de-afb2-6460686b2641,Alert
71786c2f-d981-4862-a4bf-c7b950003832,Cancel
0f6a342f-d6c4-4fdb-8849-2d5a99f14bd4,Update
b4d580fc-7fdf-4aaa-b4d8-ff5b99b0a882,Cancel
f203b193-b522-45e5-aba2-b9b2be3500f6,Update
8e3962be-9736-4b0a-a3a5-5eacd0f22c61,Alert
511349d6-e50e-484b-a614-b62c502d5f64,Cancel
f6b64ea9-94d4-4f73-aba4-6697b133d824,Alert
509758fb-6e30-4bf3-9668-980d1c4556ef,Cancel
c4dce70b-2cef-4c14-b449-9834204a0b6a,Update
006651e2-03eb-4445-bf2a-36ec832b11e3,Alert
ba9ccf6d-e6c0-4eef-941d-5968f844e15f,Cancel
53b4a706-5062-4fd2-9a15-ae6217e9edce,Alert
f90aafb9-eb57-4531-9423-9f751938dd02,Alert
09c94fb8-58f9-430d-a287-18d9c05c8685,Alert
46c5df6e-9bea-4522-848a-c6fb0d055f2c,Update
38f7371e-aefc-46d0-8094-bd9b967d4e77,Alert
83cdaac5-9bf8-4671-a482-2eca82ae4c08,Alert
b4d6b43b-f224-43b8-bca5-500ba84f8833,Cancel
c730f4ae-e486-45d4-b03a-20d26e9a37dd,Alert
a8c7a503-76c8-4b0c-adfc-ac4b8135641a,Cancel
598b644c-c052-4bfe-8843-d6dc071e3d07,Alert
f6680d04-c923-4bae-ad5d-2e79935ef853,Cancel
40d21e53-1aeb-40b2-b478-6000c9a18f27,Alert
fd5fef1c-9348-4c2a-8b16-5c7705d5f0d6,Cancel
ce8b2c3e-79b0-4ea4-9d88-cc62b16e72b1,Alert
0ca3078b-2526-4fbb-b421-d4d431d33c4c,Cancel
cb2e1044-dcd3-403c-bfa1-ea251ebdd04d,Cancel
3287a479-9a35-4781-8421-093f7f28fb6b,Cancel
a434f806-0d2a-41b1-a21a-76647451bd0d,Alert
0486abd0-ab6d-4579-a2e8-ae30624dbdca,Cancel
1a410e26-75b9-49a0-ae3c-1eb694a167ad,Update
e4def641-6340-4fbd-9a93-e40b37cca457,Alert
abed8ce5-d001-4b5f-a69c-1ca2373c0e7e,Alert
64b0310e-ab45-42ce-84c4-804417e50cc1,Cancel
17ab1848-5d11-4827-996c-a2d823c2ec30,Alert
ca1c5169-64af-44b8-9fbf-b60291e5ae4d,Alert
024657e3-1b34-4baf-b908-e396d216d011,Alert
6a56c3ec-d406-4fa3-9447-45dd10dd5ff5,Alert
4dea6a3c-9d37-4524-8afd-88372757cbf7,Cancel
88ccb1e5-4a7c-425b-9990-dc8b2f13e24e,Update
695f1718-a06c-4b09-9e5c-9dd1588c6f38,Cancel
b7dc8cc6-4c19-4436-8ab2-9c74b27289d0,Alert
b7b1d14b-badc-49fd-9498-324e3f5c9a0e,Alert
eec7debb-7bb5-4de8-b2ed-9866a36f9818,Cancel
e2fd3f49-16dd-4939-ab31-effb178b85b9,Alert
8996c7d7-5952-471c-80a1-1b9010a83589,Cancel
f6547ff6-b4c4-4ea3-9512-942ec13190ea,Cancel
9e3bec54-de48-48a1-bb5b-05df0babc468,Cancel
26a13a5f-544e-4d0d-8c1e-beac2384e5aa,Alert
503f0759-ce44-476a-82f6-7cc999d718cc,Alert
35b9da87-166f-462b-afcb-bbc7f85c23d6,Update
8cbcb9ef-c922-4885-8561-7a3ca98b1140,Alert
54a08a9f-2e85-4d37-803f-5f3925e9cfde,Cancel
c92a4ea0-6b59-4585-9155-3631d3cef60e,Alert
35e4f80a-1a35-486b-b53d-c5c7a7be3da7,Cancel
345d2507-9e61-439c-a0b7-aee715e335e1,Alert
1c1c315e-bd57-4ff6-b0ca-d7882a5ba184,Cancel
17aac6a2-336f-435d-bc23-1e071c06151e,Alert
e00e6e6a-b6b2-45e6-bee4-09b06aa0b9ca,Alert
80cbf5a4-704d-4a6c-8d97-52c329777a37,Cancel
eaaef747-b540-4d82-83d2-cc90058bb354,Alert
02b7aed9-ca83-43c0-8b08-8cc304aa70b2,Alert
bdc6917d-d62f-48d3-b28d-91f9c4bb9876,Cancel
ad7b95a5-ecef-4629-853e-d9655b0e400e,Alert
2d484022-2b13-4d0b-8cfe-1a8ea23659b9,Alert
0dae59b9-a065-40bf-8336-c37b74731fd8,Update
898f992d-72d3-4099-868c-301f7db6d984,Cancel
8fea467f-15a9-4c16-adce-3cf2954193df,Cancel
353b5b20-11ff-4e55-a27b-b30dd1c14822,Alert
5eba9645-efb9-43db-aca1-be23ce9587ec,Alert
7a92f1e1-a1dd-4053-a0b3-3b6d5d987c3c,Cancel
4cafbae2-8729-477b-baae-c87d5880f64a,Cancel
b459d511-4947-4bf9-8298-ba7b56093f39,Alert
