alert_id,sent_utc,fips,state_fips,msg_type,event_code,event_text,matched_keyword,mentioned_age
b686d9d7-d7c4-43b6-9080-539ad12a8880,2021-01-08 17:36:00+00:00,06037,06,Alert,LEW,Law Enforcement Warning,silver alert,
c807eda8-56d0-4f82-891c-9d98e8bfd0f7,2021-01-10 06:01:23+00:00,53063,53,Alert,CEM,Civil Emergency Message,dementia,57.0
e6f477ea-d0e9-4efb-a02e-456dff79d3af,2021-01-12 00:44:57+00:00,06037,06,Alert,LEW,Law Enforcement Warning,silver alert,
a3e4731f-72d4-45c5-b223-8fd27157b214,2021-01-13 20:10:32+00:00,51000,51,Alert,LAE,Local Area Emergency,senior alert,
69e4306d-0df4-417d-bfaa-b6a0a2f41c11,2021-01-24 02:10:49+00:00,06001,06,Alert,LAE,Local Area Emergency,endangered missing,
a0a4dfea-a8ea-44f3-9390-62e36dde151a,2021-01-24 04:27:37+00:00,06001,06,Cancel,LAE,Local Area Emergency,endangered missing,
f98d72c3-f471-492c-bf39-65b8b01a40bc,2021-01-24 20:36:37+00:00,06047,06,Alert,LEW,Law Enforcement Warning,silver alert,
cb63fb71-1de5-41d7-b646-22732347fce7,2021-01-24 21:04:55+00:00,06047,06,Cancel,LEW,Law Enforcement Warning,silver alert,
770fbf0b-6aec-4b37-8be3-ae5393fdd9d1,2021-01-31 16:53:44+00:00,06019,06,Alert,LEW,Law Enforcement Warning,silver alert,
770fbf0b-6aec-4b37-8be3-ae5393fdd9d1,2021-01-31 16:53:44+00:00,06107,06,Alert,LEW,Law Enforcement Warning,silver alert,
cf9ef1b3-56ae-4f32-83bf-1a308643d79a,2021-02-01 01:01:44+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
9c0403ac-9294-4421-a408-4dd3b1fb8bea,2021-02-01 01:44:37+00:00,06085,06,Cancel,LEW,Law Enforcement Warning,silver alert,
15ce3288-d9e9-456b-a852-8e64807b9e90,2021-02-02 01:08:50+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,76.0
9c96732f-f2d2-4128-b1dc-81328482ccb9,2021-02-02 01:15:20+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,
93a1f05a-f8ea-4878-9446-687c67df28cf,2021-02-02 13:35:55+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,76.0
e00367da-32a5-41b9-8b5d-141043671709,2021-02-03 20:16:07+00:00,47011,47,Alert,LEW,Law Enforcement Warning,missing endangered,3.0
af43b08a-73f3-4fde-9109-e2a54dcab6c8,2021-02-04 02:10:20+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,70.0
8470e751-9b86-4760-a239-53784b413ccc,2021-02-04 02:23:25+00:00,38015,38,Alert,CEM,Civil Emergency Message,silver alert,
8470e751-9b86-4760-a239-53784b413ccc,2021-02-04 02:23:25+00:00,38059,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38001,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38003,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38005,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38007,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38009,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38011,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38013,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38017,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38019,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38021,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38023,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38025,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38027,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38029,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38031,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38033,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38035,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38037,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38039,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38041,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38043,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38045,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38047,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38049,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38051,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38053,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38055,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38057,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38061,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38063,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38065,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38067,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38069,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38071,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38073,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38075,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38077,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38079,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38081,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38083,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38085,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38087,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38089,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38091,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38093,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38095,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38097,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38099,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38101,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38103,38,Alert,CEM,Civil Emergency Message,silver alert,
0e900ae2-7d92-4fb2-b9e8-b87e83124695,2021-02-04 03:42:10+00:00,38105,38,Alert,CEM,Civil Emergency Message,silver alert,
96270eee-c2e3-4250-a3e9-a8b6e53434b8,2021-02-04 19:30:55+00:00,37071,37,Alert,CEM,Civil Emergency Message,dementia,
82b2c521-b879-4dee-9234-32cc8f20a27c,2021-02-04 21:46:15+00:00,37071,37,Alert,CEM,Civil Emergency Message,dementia,91.0
39d14573-4bd6-445e-af7a-436588d8bea5,2021-02-05 02:56:46+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
6417b772-1e00-4586-8c58-84c362c504c2,2021-02-05 04:34:49+00:00,06085,06,Cancel,LEW,Law Enforcement Warning,silver alert,
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51013,51,Alert,LAE,Local Area Emergency,senior alert,78.0
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51059,51,Alert,LAE,Local Area Emergency,senior alert,78.0
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51107,51,Alert,LAE,Local Area Emergency,senior alert,78.0
