label,outcome,treatment,fe,coef,se,pval,nobs,exposure_spec
OWN commuter-car miles (naive; no other-WEA control) -> fatals,fatals_0623,own_driver_distance,fips + year_str + dow + month_str,0.00015010574119686404,0.0008360465949676048,0.8582375276915504,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (naive; no other-WEA control) -> fatals,fatals_0623,cross_driver_distance,fips + year_str + dow + month_str,0.0004486103180361861,0.00026746407688930967,0.09973074000834936,7348614,year_matched_tract_car_distance
OWN commuter-car miles (naive; other WEA binary) -> fatals,fatals_0623,own_driver_distance,fips + year_str + dow + month_str,0.00015297420103320026,0.0008384415920552257,0.8559668410605421,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (naive; other WEA binary) -> fatals,fatals_0623,cross_driver_distance,fips + year_str + dow + month_str,0.00044991486931226994,0.0002664980337703987,0.09759222812880264,7348614,year_matched_tract_car_distance
OWN commuter-car miles (naive; other WEA count) -> fatals,fatals_0623,own_driver_distance,fips + year_str + dow + month_str,0.000156007752761632,0.0008394023585675092,0.853309842949852,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (naive; other WEA count) -> fatals,fatals_0623,cross_driver_distance,fips + year_str + dow + month_str,0.00044992701730631234,0.0002658673733273346,0.09681261493397786,7348614,year_matched_tract_car_distance
OWN commuter-car miles (robust; no other-WEA control) -> fatals,fatals_0623,own_driver_distance,fips_year + fips_dow + month_str,-1.24378364342735e-05,0.0006042270521293143,0.983658868433676,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (robust; no other-WEA control) -> fatals,fatals_0623,cross_driver_distance,fips_year + fips_dow + month_str,0.0005225668003775378,0.00021559462213347809,0.01901703044617986,7348614,year_matched_tract_car_distance
OWN commuter-car miles (robust; other WEA binary) -> fatals,fatals_0623,own_driver_distance,fips_year + fips_dow + month_str,-8.65303360275428e-06,0.0006066329187696186,0.9886760972993685,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (robust; other WEA binary) -> fatals,fatals_0623,cross_driver_distance,fips_year + fips_dow + month_str,0.0005243546731698641,0.0002143141116265272,0.017977317324530562,7348614,year_matched_tract_car_distance
OWN commuter-car miles (robust; other WEA count) -> fatals,fatals_0623,own_driver_distance,fips_year + fips_dow + month_str,-5.134005635951688e-06,0.0006071836336540681,0.9932872613397001,7348614,year_matched_tract_car_distance
CROSS commuter-car miles (robust; other WEA count) -> fatals,fatals_0623,cross_driver_distance,fips_year + fips_dow + month_str,0.0005242468100888491,0.00021371555762711322,0.017697425849455328,7348614,year_matched_tract_car_distance
PLACEBO: spillover from tomorrow's home-county alert -> today's fatals,fatals_0623,cross_spillover_placebo,fips + year_str + dow + month_str,0.0002925547465114817,0.007351551562197862,0.9684150663943905,7348614,legacy_binary_or_county_share
PLACEBO: spillover from tomorrow's home-county alert -> today's fatals (robust FE),fatals_0623,cross_spillover_placebo,fips_year + fips_dow + month_str,0.00034370848523619034,0.007372192396014257,0.9629999873212318,7348614,legacy_binary_or_county_share
