label,vcov,coef,se,pval
OWN night_alert (spillover-controlled),1-way: state,-0.0033953802228102368,0.003007637007280798,0.26431921671814074
OWN night_alert (spillover-controlled),1-way: county,-0.0033953802228102368,0.003330297233586784,0.30809253858944174
OWN night_alert (spillover-controlled),1-way: date,-0.0033953802228102368,0.003335229942317095,0.30871762305481854
OWN night_alert (spillover-controlled),2-way: state + date,-0.0033953802228102368,0.0028534087957224306,0.23969026887692735
OWN night_alert (spillover-controlled),2-way: county + date,-0.0033953802228102368,0.003247068228335187,0.29586158820055486
CROSS_SPILLOVER (own-controlled),1-way: state,0.030464113945709904,0.011808106745008136,0.012867278605157573
CROSS_SPILLOVER (own-controlled),1-way: county,0.030464113945709904,0.013695863913840325,0.02625904837734372
CROSS_SPILLOVER (own-controlled),1-way: date,0.030464113945709904,0.013691761178772225,0.026132240437793053
CROSS_SPILLOVER (own-controlled),2-way: state + date,0.030464113945709904,0.011635431002136702,0.011666275583962493
CROSS_SPILLOVER (own-controlled),2-way: county + date,0.030464113945709904,0.013697355702153054,0.026275372786043194
