record_type,status,model,sample,window,window_start_hour,window_end_hour,window_duration_hours,specification,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0002629428716864177,8.387421161666137e-05,0.002902826133271974,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,robust,person_fatals,own_alert,-0.00029951849456384206,0.00024208155102521084,0.22188617063135685,2728320,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,robust,person_fatals,own_alert_x_hours_since_wake,-1.2141470597312805e-05,3.243763569917709e-05,0.7097946265500408,2728320,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,robust,person_fatals,cross_spillover,0.0004922245662954512,0.0008090200166442937,0.5457186295269922,2728320,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0002629431678731037,8.387496661374261e-05,0.002903029145014502,2728320,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,baseline,person_fatals,own_alert,-0.00037335965759648657,0.00024382709704383302,0.13213943090860525,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,baseline,person_fatals,own_alert_x_hours_since_wake,2.031774480532355e-06,3.810937883564987e-05,0.9576982666913778,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,baseline,person_fatals,cross_spillover,0.0009044531025621374,0.0007487867999802666,0.2328867641621799,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00017504524039889608,0.00010874988402964807,0.11390681504124855,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,robust,person_fatals,own_alert,-0.0003671857848038545,0.00024717422763011584,0.14380818045126476,2864695,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,robust,person_fatals,own_alert_x_hours_since_wake,2.030920039267558e-06,3.811164674579699e-05,0.9577185528195591,2864695,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,robust,person_fatals,cross_spillover,0.0009028096228570103,0.0007619377209004587,0.24177752205154346,2864695,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-01:00 (+1 day),4,1,21,robust,person_fatals,cross_spillover_x_hours_since_wake,0.00017498719150187085,0.00010883648331442814,0.11430454110143251,2864695,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,baseline,person_fatals,own_alert,-0.00039419035199458587,0.00026020284636454704,0.13621356658000594,3001152,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,baseline,person_fatals,own_alert_x_hours_since_wake,6.718926012092868e-06,4.111431736144109e-05,0.8708594632536872,3001152,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,baseline,person_fatals,cross_spillover,0.0011698669161024247,0.0007777935717503756,0.13897847763264393,3001152,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00011706780137461829,0.00011218708883032572,0.30183543516188527,3001152,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,robust,person_fatals,own_alert,-0.0003908951784475212,0.00026276092044374006,0.14325180897696033,3001152,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,robust,person_fatals,own_alert_x_hours_since_wake,6.668506570494086e-06,4.1088816705835966e-05,0.8717410337491602,3001152,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,robust,person_fatals,cross_spillover,0.0011700331576953112,0.0007922962860880999,0.14613787428558656,3001152,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-02:00 (+1 day),4,2,22,robust,person_fatals,cross_spillover_x_hours_since_wake,0.00011763883015489997,0.00011213164807775563,0.29927296445839735,3001152,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,baseline,person_fatals,own_alert,6.695996466438351e-05,0.0002361120972866315,0.7779163955282442,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,baseline,person_fatals,own_alert_x_hours_since_wake,-6.280639912593443e-05,3.945274747795642e-05,0.11782971416078136,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,baseline,person_fatals,cross_spillover,-0.0014553130114968232,0.000927170341835141,0.1229373512335099,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0005109987334156837,0.00012771394123931417,0.000212721830052498,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,robust,person_fatals,own_alert,6.75362945391481e-05,0.00023859782923370813,0.7783271251898012,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,robust,person_fatals,own_alert_x_hours_since_wake,-6.280647479985608e-05,3.9452898828018166e-05,0.1178306567650953,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,robust,person_fatals,cross_spillover,-0.0014546974325692218,0.0009011153078329069,0.11287794511796023,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-22:00,5,22,17,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0005109991168586547,0.00012771416014172458,0.00021272443853792566,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,baseline,person_fatals,own_alert,1.2355811886584322e-05,0.0002242907745036542,0.9562920728304989,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,baseline,person_fatals,own_alert_x_hours_since_wake,-4.818942968738351e-05,3.0272353290773187e-05,0.11784706807734002,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,baseline,person_fatals,cross_spillover,-0.001181121676851718,0.0008702373146514905,0.1809236594406094,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0004440845218998829,7.418653978768013e-05,2.459111509978129e-07,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
