label,N,coef,se,t,p,outcome,treat
CA Total fatalities/100k,211816,-0.006863234112146027,0.0038333106282977336,-1.790419503569894,0.10700003700910155,total_fatals_per_100k,night_alert
CA Drunk fatalities/100k,211816,-0.003061916745390359,0.0028806378940032682,-1.0629301071698272,0.3155009886695297,drunk_fatals_per_100k,night_alert
CA Sober fatalities/100k,211816,-0.0038013172956170983,0.0022505281665461388,-1.689077858310451,0.12547043506831734,sober_fatals_per_100k,night_alert
