label,N,coef,se,t,p,outcome,treat
Late-night: Total fatalities/100k,11423456,0.002547129608090216,0.0032644305040674254,0.7802676775984465,0.45526369060598415,total_fatals_per_100k,latenight_alert
Late-night: Drunk fatalities/100k,11423456,0.0005070567509856295,0.0019677089892530955,0.2576888928977747,0.8024423665615679,drunk_fatals_per_100k,latenight_alert
Late-night: Sober fatalities/100k,11423456,0.0020400728611667065,0.0020944902154568005,0.9740188071118653,0.35549749509314243,sober_fatals_per_100k,latenight_alert
