exposure,count,mean,std,min,50%,90%,95%,99%,max,nonzero,pair_fallback_edge_count,pair_fallback_weight_share,analysis_counties,excluded_no_self_loop_counties
own_driver_distance,7309176.0,0.010156577468727453,0.20366473581587852,0.0,0.0,0.0,0.0,0.0,28.1363008270911,20376,6032,0.0019904280840425106,1668,9
cross_driver_distance,7309176.0,0.02668123676690042,0.503431915405418,0.0,0.0,0.0,0.0,0.32483818451863317,117.43985628814124,196339,6032,0.0019904280840425106,1668,9
