label,treatment,coef,se,pval,nobs
WEEKDAY (Mon-Fri): OWN night_alert (spillover-controlled),night_alert,-0.0036056161541209997,0.00398900550963102,0.37038904344203716,5249010
WEEKDAY (Mon-Fri): CROSS_SPILLOVER (own-controlled),cross_spillover,0.03485258082385387,0.014887670633453073,0.023258476393220873,5249010
WEEKEND (Sat-Sun): OWN night_alert (spillover-controlled),night_alert,-0.003571292845608383,0.005453847329896685,0.5155843536470142,2099604
WEEKEND (Sat-Sun): CROSS_SPILLOVER (own-controlled),cross_spillover,0.019803382037726407,0.02024199842290034,0.33262050748374317,2099604
