model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y
(2) County FE [state-cl],0.0049218569993195235,0.00392801541483891,0.21602902227646584,-0.0029677941546274195,0.012811508153266466,7234005,51,3.0514171756035324e-07,0.056542399403926316
(3) Baseline [state-cl],0.0043757832810174535,0.00371360542286756,0.24425007705270727,-0.003083212729829984,0.01183477929186489,7234005,51,2.4134920384444314e-07,0.056542399403926316
(5) + Year FE [state-cl],0.005364092758646843,0.0044479385505374535,0.23350379171817653,-0.00356985474709941,0.014298040264393096,7234005,51,3.627087413748953e-07,0.056542399403926316
(2) County FE comb [state-cl],0.020625082336159832,0.010464245161278645,0.0542712088412343,-0.00039297263378269137,0.041643137306102355,7229634,51,5.729960999012462e-07,0.06872308220297055
(3) Baseline comb [state-cl],0.019304942025708934,0.009876830029095484,0.05623716434777612,-0.0005332549279012284,0.03914313897931909,7229634,51,5.018429262149127e-07,0.06872308220297055
