record_type,status,sample,state,model,outcome,term,beta,se,pvalue,irr,pct_change,n_obs,zero_share_input,exposure_mode,cluster,weighting
estimate,ok,spillover_joint,FARS_SPILL_UNWEIGHTED,PPML_raw_count,fatals,night_alert,-0.057199745693865385,0.08436756733222686,0.49778270285233805,0.9444054096113307,-5.559459038866931,12557142,0.9725467401502148,log_population_offset,county+date,unweighted
estimate,ok,spillover_joint,FARS_SPILL_UNWEIGHTED,PPML_raw_count,fatals,spillover_share_10pp,0.06919216776593413,0.030948266022507966,0.025369037036474973,1.0716421244355059,7.164212443550588,12557142,0.9725467401502148,log_population_offset,county+date,unweighted
estimate,ok,spillover_joint,FARS_SPILL_DRIVER_WEIGHTED,PPML_raw_count,fatals,night_alert,-0.0485182603303421,0.11768719399628837,0.6801455150234139,0.9526399436269423,-4.736005637305773,12557142,0.9725467401502148,log_population_offset,county+date,driver_weighted
estimate,ok,spillover_joint,FARS_SPILL_DRIVER_WEIGHTED,PPML_raw_count,fatals,spillover_share_10pp,0.01669799980921253,0.014821929192685844,0.2599226441628706,1.0168381906230906,1.6838190623090554,12557142,0.9725467401502148,log_population_offset,county+date,driver_weighted
