label,N,coef,se,t,p,outcome,treat
Total fatalities/100k,11423456,0.001246427770531244,0.0021051158744840167,0.5920946137165751,0.5683614494245692,total_fatals_per_100k,night_alert
Drunk fatalities/100k,11423456,0.00033360392647792305,0.0013347691521732154,0.24993380011424676,0.8082499985818905,drunk_fatals_per_100k,night_alert
Sober fatalities/100k,11423456,0.0009128238498002418,0.0012893854488618924,0.7079526534179271,0.4968982256369494,sober_fatals_per_100k,night_alert
