label,outcome,model,fe,coef,se,pval,nobs,pct_change,control_source,overlap_policy,control_spec,day_match
fatals: tomorrow placebo; all_non_amber_wea; all_hours,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00020033802083703147,0.00019672969372520538,0.31341800770900474,2902107,,all_non_amber_wea,all_hours,direct+spillover,weekend
fatals: any alert hour; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00037567503068507233,0.0001693453992005523,0.03109777506234601,2901832,,all_non_amber_wea,overlap_excluded,direct+spillover,weekend
serious: any alert hour; all_non_amber_wea; overlap_excluded,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-9.482419540984531e-05,9.25356462605386e-05,0.31042219314234276,2901832,,all_non_amber_wea,overlap_excluded,direct+spillover,weekend
fatals: first-alert hour; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00028535792242773286,0.0002080810865983139,0.17638048558639596,2901832,,all_non_amber_wea,overlap_excluded,direct+spillover,weekend
serious: first-alert hour; all_non_amber_wea; overlap_excluded,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-9.950550146112533e-05,9.514831483564164e-05,0.3006859083603928,2901832,,all_non_amber_wea,overlap_excluded,direct+spillover,weekend
fatals: tomorrow placebo; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00020034533679895406,0.00019665066241858836,0.31320805894666925,2901832,,all_non_amber_wea,overlap_excluded,direct+spillover,weekend
fatals: any alert hour; non_weather_wea; all_hours,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.0003631962474488941,0.0001644184539892425,0.03178705933035708,2902107,,non_weather_wea,all_hours,direct+spillover,weekend
serious: any alert hour; non_weather_wea; all_hours,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-9.893348715156102e-05,9.17465818755003e-05,0.2860594704021324,2902107,,non_weather_wea,all_hours,direct+spillover,weekend
fatals: first-alert hour; non_weather_wea; all_hours,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.0002725012534275099,0.00020162740074096834,0.18261565951352088,2902107,,non_weather_wea,all_hours,direct+spillover,weekend
serious: first-alert hour; non_weather_wea; all_hours,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-0.00010379853267863742,9.425607681535067e-05,0.2760655893717525,2902107,,non_weather_wea,all_hours,direct+spillover,weekend
fatals: tomorrow placebo; non_weather_wea; all_hours,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00020049887142486696,0.00019663046842810787,0.31279195348101263,2902107,,non_weather_wea,all_hours,direct+spillover,weekend
fatals: any alert hour; non_weather_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.0003678524047832036,0.0001688915726830733,0.03414648367341466,2901863,,non_weather_wea,overlap_excluded,direct+spillover,weekend
serious: any alert hour; non_weather_wea; overlap_excluded,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-9.669869142502498e-05,9.262991051603831e-05,0.301541085010556,2901863,,non_weather_wea,overlap_excluded,direct+spillover,weekend
fatals: first-alert hour; non_weather_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00027721162665899013,0.00020736285061228964,0.1873248669134382,2901863,,non_weather_wea,overlap_excluded,direct+spillover,weekend
serious: first-alert hour; non_weather_wea; overlap_excluded,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-0.0001014466589514182,9.521272193362685e-05,0.2917797951244776,2901863,,non_weather_wea,overlap_excluded,direct+spillover,weekend
fatals: tomorrow placebo; non_weather_wea; overlap_excluded,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00020060477143010342,0.00019660710558527342,0.31248213336823283,2901863,,non_weather_wea,overlap_excluded,direct+spillover,weekend
