spec,coef_type,coef,se,pval,n_obs
count_baseline,own,-0.004068646674563486,0.005931150575811083,0.49589484723343197,7234005
count_baseline,spillover,0.04103170024612728,0.021615745569676312,0.0634453060749137,7234005
count_twfe2,own,-0.004540366010833609,0.0070680393488608655,0.523561265817384,7232350
count_twfe2,spillover,0.04518112488653067,0.021648605927004263,0.042004375257540326,7232350
comb_wls,own,0.007625446295532547,0.01157055920501103,0.5128947634702674,7229634
comb_wls,spillover,0.04794142047767652,0.03329645385506524,0.15614602669870134,7229634
