beta,se,pvalue,n_obs,method,state,outcome,n_treated,model,irr,pct_change
-0.136984,0.01116,0.0,212984,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",VA,All crashes / 100k,35,Poisson,0.871984,-12.802
0.056576,0.045349,0.2144,212984,"WLS TWFE (pyfixest, pop-wt, county+date FE, SE: county)",VA,Fatalities / 100k,35,OLS,,
-0.17369,0.134108,0.1975,212984,"WLS TWFE (pyfixest, pop-wt, county+date FE, SE: county)",VA,Serious inj / 100k,35,OLS,,
-0.394018,0.029244,0.0,35845,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",VA,Serious inj / 100k,35,Poisson,0.674342,-32.566
0.869983,0.202498,0.0016,228904,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",WI,All crashes / 100k,83,OLS,,
0.152219,0.027411,0.0,228904,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",WI,All crashes / 100k,83,Poisson,1.164415,16.441
-0.004727,0.002312,0.0681,228904,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",WI,Fatalities / 100k,83,OLS,,
-0.042596,0.034969,0.2232,4179,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",WI,Fatalities / 100k,83,Poisson,0.958298,-4.17
0.10663,0.02768,0.0032,228904,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",WI,Serious inj / 100k,83,OLS,,
0.515826,0.294122,0.0795,25600,"Poisson PPML (pyfixest, pop-wt, county+date FE, SE: county)",WI,Serious inj / 100k,83,Poisson,1.675021,67.502
