exposure,count,mean,std,min,50%,90%,95%,99%,max,nonzero,max_pair_fallback_weight_share,analysis_counties,excluded_no_self_loop_counties
own_driver_distance,7309176.0,0.010159667330961153,0.20401928424907445,0.0,0.0,0.0,0.0,0.0,28.167187682369264,20376,0.004420211744204421,1668,9
cross_driver_distance,7309176.0,0.026571077736736164,0.4900688990123802,0.0,0.0,0.0,0.0,0.3326979577841648,125.04921822924409,203376,0.004420211744204421,1668,9
