model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,breadth_threshold,n_treated
Breadth ≤5 [count],-0.021896829897654027,0.027465821549158772,0.4290819023342365,-0.07706355604155032,0.03326989624624227,7234005,51,2.0421365864997654e-07,0.056542399403926316,5.0,212
Breadth ≤5 [comb/100k],-0.013970230415162689,0.013273615269313149,0.2976387889062078,-0.04063107131486141,0.012690610484536034,7229634,51,8.880259416699232e-09,0.06872308220297055,5.0,212
Breadth ≤10 [count],0.007419195121860858,0.016209020181296403,0.6491364309522097,-0.02513758006150716,0.039975970305228876,7234005,51,7.925949796483422e-08,0.056542399403926316,10.0,717
Breadth ≤10 [comb/100k],-0.011867319962442753,0.010114403316166734,0.24623107599768118,-0.032182696906591604,0.008448056981706096,7229634,51,2.1664056659709274e-08,0.06872308220297055,10.0,717
Breadth ≤20 [count],-0.005605259352635192,0.009217742329665823,0.5458771810669698,-0.02411963970188238,0.012909120996611994,7234005,51,9.282150847944592e-08,0.056542399403926316,20.0,1471
Breadth ≤20 [comb/100k],-0.017156855396160815,0.008939841677159204,0.060682539330497436,-0.035113055857557085,0.0007993450652354558,7229634,51,9.290288482954878e-08,0.06872308220297055,20.0,1471
Breadth all [count],0.0043757832810174535,0.00371360542286756,0.24425007705270727,-0.003083212729829984,0.01183477929186489,7234005,51,2.4134920384444314e-07,0.056542399403926316,,6282
Breadth all [comb/100k],0.019304942025708934,0.009876830029095484,0.05623716434777612,-0.0005332549279012284,0.03914313897931909,7229634,51,5.018429262149127e-07,0.06872308220297055,,6282
