model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y
(1) Pooled OLS,0.015982753302385883,0.007428802673271008,0.031584605008066265,0.00141189863297456,0.030553607971797205,7229634,1654,6.908850026521307e-07,0.054427011899545664
(2) County FE,0.010559286133562818,0.0073883059299647644,0.1531388422206626,-0.003932138217498169,0.025050710484623803,7229634,1654,9.862436761709503e-07,0.054427011899545664
(3) Baseline,0.00957487192819508,0.007394013159354606,0.19551856870409404,-0.004927746583440879,0.02407749043983104,7229634,1654,2.765458830822354e-07,0.054427011899545664
(5) + Year FE,0.010420716475792485,0.007384087832540643,0.15836218695580181,-0.004062434498352807,0.024903867449937778,7229634,1654,2.9237095755529907e-07,0.054427011899545664
(6) DoW×Year FE,0.010901732740232243,0.0073792785037207565,0.1397739430721673,-0.003571985215649675,0.02537545069611416,7229634,1654,4.1070439793511326e-07,0.054427011899545664
(7) Year×Month FE,0.010700110790774773,0.0073626407790728125,0.1463308562511115,-0.003740973929505514,0.025141195511055058,7229634,1654,5.53820544202388e-07,0.054427011899545664
