model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y
(2) County FE [OLS],0.012458503000504396,0.008056539872477137,0.12220331380647477,-0.0033435955048921936,0.028260601505900984,6018044,1654,7.826203466398951e-07,0.05428901981455666
(3) Baseline [OLS],0.01170874022414563,0.008051156541212636,0.14605494656072363,-0.004082799414507255,0.027500279862798516,6018044,1654,4.7570734529323033e-07,0.05428901981455666
(5) + Year FE [OLS],0.012622201069746373,0.00804021968495518,0.11663381054832327,-0.0031478870174147747,0.028392289156907523,6018044,1654,4.851256441007479e-07,0.05428901981455666
(2) County FE [logWLS],0.011245609211885025,0.006922308889310992,0.10444997646454982,-0.0023318084742564114,0.024823026898026464,6018044,1654,1.0267058231372417e-06,0.05428901981455666
(3) Baseline [logWLS],0.01053605204936375,0.006918152811752463,0.1279606358631104,-0.0030332139056355994,0.0241053180043631,6018044,1654,4.1019994689861505e-07,0.05428901981455666
(5) + Year FE [logWLS],0.011323489750701722,0.006913214888562261,0.10162276565111845,-0.0022360909610171682,0.024883070462420612,6018044,1654,4.416616486979663e-07,0.05428901981455666
