model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,split
"Workday night [count, baseline]",0.0019616092870030316,0.003938132771046981,0.6205929764441506,-0.005948363174946002,0.009871581748952066,7234005,51,8.427702667956893e-07,0.056542399403926316,workday
"Weekend night [count, baseline]",0.010387620671485718,0.009179565854624431,0.2631997751373499,-0.008050079970949194,0.02882532131392063,7234005,51,8.427702667956893e-07,0.056542399403926316,weekend
"Workday night [count, TWFE2]",0.0020858765726462676,0.00438683306140613,0.6365115816046489,-0.006725336946105892,0.010897090091398427,7232350,51,8.299823864188483e-06,0.05654828651821331,workday
"Weekend night [count, TWFE2]",0.011414529840974926,0.010851958321387311,0.2979297653781904,-0.010382269929585236,0.03321132961153509,7232350,51,8.299823864188483e-06,0.05654828651821331,weekend
Workday night [comb/100k WLS],0.010178336359852864,0.00733653701313243,0.17148842134283915,-0.004557531909138778,0.024914204628844507,7229634,51,8.442038962330756e-07,0.06872308220297055,workday
Weekend night [comb/100k WLS],0.03535213724279185,0.016119721701777175,0.03297930911347138,0.0029747233341589144,0.06772955115142479,7229634,51,8.442038962330756e-07,0.06872308220297055,weekend
