night_start,night_end,term,coef,se,pval,nobs,n_night_alert_events
20,4,own_alert,0.0006152020687536867,0.00228192573347713,0.7885792577308344,7348614,30735
20,4,cross_spillover,0.008259308685235162,0.009051685810748255,0.36590492419314247,7348614,30735
20,5,own_alert,0.000695298502399073,0.0027944994065610754,0.8045271967447878,7348614,31936
20,5,cross_spillover,0.009110352761959319,0.010874658196836562,0.40615242512323224,7348614,31936
20,6,own_alert,-0.0003660024663895797,0.0024798676388620897,0.8832602877117037,7348614,33783
20,6,cross_spillover,0.013086246328622734,0.01003070147683202,0.19799566496964127,7348614,33783
20,7,own_alert,-1.9080695258432867e-05,0.0020887590045791126,0.9927478223653692,7348614,41493
20,7,cross_spillover,0.012197275917417778,0.007775768536696906,0.1230425933634336,7348614,41493
21,4,own_alert,-0.0012727212723696209,0.0025303678050439668,0.6171877141058739,7348614,24349
21,4,cross_spillover,0.019681121110115822,0.009545822413635162,0.0444484869338182,7348614,24349
21,5,own_alert,-0.0010186553519724942,0.0031755050623278325,0.7497100438456923,7348614,25550
21,5,cross_spillover,0.0198016736291726,0.011678464280997457,0.09618638681624225,7348614,25550
21,6,own_alert,-0.001977451496105734,0.0028122719067991894,0.48522307183599045,7348614,27397
21,6,cross_spillover,0.023131878994279747,0.010109577589306912,0.02639446448102256,7348614,27397
21,7,own_alert,-0.0015464460940967774,0.0025197106702445618,0.5421697689427383,7348614,35107
21,7,cross_spillover,0.020780245627470363,0.008341522296435717,0.016095807253577954,7348614,35107
22,4,own_alert,-0.002608235592759893,0.003208000547683433,0.420049319607827,7348614,17468
22,4,cross_spillover,0.025783203477761727,0.012862106747335813,0.0504376814505314,7348614,17468
22,5,own_alert,-0.0023043917980353186,0.003652502686260014,0.5309744244317107,7348614,18669
22,5,cross_spillover,0.02560789829042081,0.014663388750873892,0.0868857347695482,7348614,18669
22,6,own_alert,-0.003395380222810369,0.0030076370072670048,0.2643192167159589,7348614,20518
22,6,cross_spillover,0.030464113945710428,0.011808106744972362,0.012867278604899779,7348614,20518
22,7,own_alert,-0.0022439111581677644,0.0028030681468339913,0.42719721393367216,7348614,28228
22,7,cross_spillover,0.023781854770882196,0.010205533472524042,0.023866918096480783,7348614,28228
23,4,own_alert,-0.0031743412051259585,0.004225070160136108,0.4559873971700765,7348614,11777
23,4,cross_spillover,0.027146215739476183,0.01757570322912295,0.128766090552757,7348614,11777
23,5,own_alert,-0.0037083446255384866,0.005317500069758941,0.48879212473767364,7348614,12978
23,5,cross_spillover,0.031239890570297506,0.020383023035255948,0.13166743339126974,7348614,12978
23,6,own_alert,-0.004938575070735152,0.004390780756779602,0.2660613202634261,7348614,14827
23,6,cross_spillover,0.03543057613203496,0.016265723231704537,0.034131008580246425,7348614,14827
23,7,own_alert,-0.0029057122157131977,0.0035743794696686537,0.4201135833386809,7348614,22691
23,7,cross_spillover,0.02486627330441005,0.013839817660767327,0.07842195694106313,7348614,22691
