spec,coef,se,p,N
Baseline (county+date FE),0.001246427770531244,0.0021051158744840167,0.5683614494245692,11423456
+ weather_adverse (FARS field),0.002848373266737902,0.0017845388300344793,0.14492202169334512,11423456
+ state×year-month FE,0.00032396510035053307,0.0019869405359461863,0.8740836309439468,11423456
