record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,spillover_joint,FARS_WINDOW_W3_SERIOUS,WLS_TWFE,w3_serious_per_100k,,,,,,,,12593295.0,12593295.0,0.9987842736948511,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W3_SERIOUS,PPML_raw_count,w3_serious,,,,,,,,12593295.0,10067298.0,0.9987842736948511,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W3_SERIOUS,WLS_TWFE,w3_serious_per_100k,,,,,,,,12526681.0,12526681.0,0.9987962493816199,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W3_SERIOUS,PPML_raw_count,w3_serious,,,,,,,,12526681.0,9975195.0,0.9987962493816199,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W4_FATALS,WLS_TWFE,w4_fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9962954095810509,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W4_FATALS,PPML_raw_count,w4_fatals,,,,,,,,12593295.0,11942541.0,0.9962954095810509,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W4_FATALS,WLS_TWFE,w4_fatals_per_100k,,,,,,,,12526681.0,12526681.0,0.9963343841836477,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W4_FATALS,PPML_raw_count,w4_fatals,,,,,,,,12526681.0,11872669.0,0.9963343841836477,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W4_SERIOUS,WLS_TWFE,w4_serious_per_100k,,,,,,,,12593295.0,12593295.0,0.9993631531700004,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W4_SERIOUS,PPML_raw_count,w4_serious,,,,,,,,12593295.0,7624680.0,0.9993631531700004,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W4_SERIOUS,WLS_TWFE,w4_serious_per_100k,,,,,,,,12526681.0,12526681.0,0.9993675898667812,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W4_SERIOUS,PPML_raw_count,w4_serious,,,,,,,,12526681.0,7528869.0,0.9993675898667812,night_alert,night_alert,,,,,,,
model_count_summary,,,,,,,,,,,,,,,,,,,,,40.0,40.0,60.0,60.0
