variant,coef,se,pval,n_edges_lit,weight_sum
coverage_matched (all edges w/ known distance),0.030464113945710428,0.011635431002087339,0.011666275583628094,901760,5182.841518707087
"short_only (<25 mi, exposure-weighted median)",0.034517278426364435,0.013587054758982375,0.014222682833157307,41263,2668.196601823919
long_only (>=25 mi),0.002238764712151139,0.0155698812063584,0.8862457107078014,860497,2514.644916883168
"distance_weighted (weight x miles, continuous)",0.00038577520263828477,7.014710269432382e-05,1.2975511842761023e-06,901760,5182.841518707087
