variant,hour,hours_since_wake,coef,se,pval,nobs
plain_cross_spillover,6,0,0.0002564234742039556,0.005416316158848363,0.9624286278606893,7328096
TRUE_car_x_dist_tract,6,0,-1.127238437130531e-05,3.140780926381779e-05,0.7211781578242418,7328096
plain_cross_spillover,7,1,0.02138027413347476,0.013152154226354885,0.11032006198229016,7328096
TRUE_car_x_dist_tract,7,1,2.380154030479534e-05,3.203420756230495e-05,0.46095620977450125,7328096
plain_cross_spillover,8,2,0.01386612170110129,0.015066260619426324,0.36181295221319565,7328096
TRUE_car_x_dist_tract,8,2,4.054129739504647e-05,5.003936142157382e-05,0.4216714414626075,7328096
plain_cross_spillover,9,3,-0.007722092887694275,0.0030353966924882765,0.014095298995052907,7328096
TRUE_car_x_dist_tract,9,3,-6.286608010481617e-06,2.436777923957502e-05,0.7974746906935226,7328096
plain_cross_spillover,10,4,-0.005970513840591364,0.0031958015398939202,0.0675942546000563,7328096
TRUE_car_x_dist_tract,10,4,-1.316642667115151e-05,1.685454273951669e-05,0.4383800415040773,7328096
plain_cross_spillover,11,5,0.0033738326440718855,0.0044234467277848195,0.44921641113643207,7328096
TRUE_car_x_dist_tract,11,5,4.249933938656852e-05,6.0501853032055165e-05,0.48565805232984394,7328096
plain_cross_spillover,12,6,-0.002181765413555082,0.005316803529413598,0.6833002808543793,7328096
TRUE_car_x_dist_tract,12,6,-2.3618970262121467e-05,2.8074031029088142e-05,0.40417992057923513,7328096
plain_cross_spillover,13,7,-0.009531598225771638,0.0026179971179196714,0.0006443770548929528,7328096
TRUE_car_x_dist_tract,13,7,-7.63096736663367e-05,3.450646718786295e-05,0.03160392663788447,7328096
plain_cross_spillover,14,8,0.015171939126166304,0.011816590572750115,0.20507667170682264,7328096
TRUE_car_x_dist_tract,14,8,0.00047785185975271537,6.210907393751746e-05,4.962983357614803e-10,7328096
plain_cross_spillover,15,9,0.007288865451671331,0.010104393641459345,0.4740502358188887,7328096
TRUE_car_x_dist_tract,15,9,9.780819361274091e-05,0.00011631572811998199,0.404415670878973,7328096
plain_cross_spillover,16,10,0.003340495485585742,0.0075394889100551124,0.6596287147959501,7328096
TRUE_car_x_dist_tract,16,10,4.264251074722386e-05,4.8726147247673995e-05,0.3856789541216634,7328096
plain_cross_spillover,17,11,-0.012601635803075958,0.005199294811889349,0.019022613321624915,7328096
TRUE_car_x_dist_tract,17,11,-1.5658716001385383e-05,3.1597851803030294e-05,0.6223741488393841,7328096
plain_cross_spillover,18,12,-0.0012660527510652394,0.004688129190474862,0.7882294718179326,7328096
TRUE_car_x_dist_tract,18,12,3.145774144426047e-05,3.751807499054053e-05,0.4057580198677839,7328096
plain_cross_spillover,19,13,0.005314143188115428,0.007647103631022237,0.4903208977831137,7328096
TRUE_car_x_dist_tract,19,13,3.3681227943424476e-05,4.304293912672345e-05,0.43760940824565164,7328096
plain_cross_spillover,20,14,-0.011211054084871174,0.005034386015527572,0.03048715145639913,7328096
TRUE_car_x_dist_tract,20,14,-2.7868872129325106e-05,3.1018285227402996e-05,0.3732436231942722,7328096
plain_cross_spillover,21,15,-0.007043119350999767,0.005454545160003869,0.2025588634403821,7328096
TRUE_car_x_dist_tract,21,15,3.865414618829157e-05,7.362932682235786e-05,0.6019152006141069,7328096
plain_cross_spillover,22,16,0.008604134580325516,0.007517081419785594,0.2578201092998933,7328096
TRUE_car_x_dist_tract,22,16,-1.4425722798772347e-05,2.6768402718905348e-05,0.5923414428124043,7328096
plain_cross_spillover,23,17,0.007318977986079156,0.009088823471438244,0.42447553832995233,7328096
TRUE_car_x_dist_tract,23,17,-4.958880244502323e-06,4.019114730634245e-05,0.9022989380053112,7328096
