record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,spillover_joint,ALL,WLS_TWFE,crashes_per_100k,night_alert,-0.03381791743848823,0.06979857814928091,0.6384626657889316,2408047.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,crashes_per_100k,log_spillover_commuters,0.013985708851751093,0.008168566363507868,0.11765186550512796,2408047.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,crashes,night_alert,-0.01204555433737082,0.014055897511373884,0.3914586395854558,2408047.0,log_population_offset,,,0.31224473608696174,,,,0.9880267029349827,-1.1973297065017263
estimate,ok,spillover_joint,ALL,PPML_raw_count,crashes,log_spillover_commuters,0.00271981972656887,0.0012625723881428796,0.03122534220719486,2408047.0,log_population_offset,,,0.31224473608696174,,,,1.0027235217917971,0.27235217917971344
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,crashes_per_100k,night_alert,0.16048265495556985,0.10746722183943447,0.16621837477546975,2392418.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,fatals_per_100k,night_alert,-0.00046722885891228513,0.0036504881677821574,0.9006936119990001,2349647.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,fatals_per_100k,log_spillover_commuters,-1.2502290314717905e-05,0.00017731945476036744,0.9451801093813197,2349647.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,fatals,night_alert,-0.006282944497193444,0.13419450029800728,0.9626569383046477,2330275.0,log_population_offset,,,0.9629944412926708,,,,0.9937367519264828,-0.6263248073517191
estimate,ok,spillover_joint,ALL,PPML_raw_count,fatals,log_spillover_commuters,-0.0014047653263680505,0.006183347308339902,0.8202796938432537,2330275.0,log_population_offset,,,0.9629944412926708,,,,0.998596220894586,-0.14037791054140047
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,fatals_per_100k,night_alert,2.534952569828865e-05,0.003866514313974507,0.9948979186680316,2334655.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,serious_per_100k,night_alert,-0.031432945363835584,0.018477085138548628,0.11974122806104459,1502791.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.0009240096977404675,0.0005427310018298989,0.11948506395885095,1502791.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,serious_inj,night_alert,-0.22745608452105512,0.09989536145113734,0.022789605417951275,1502535.0,log_population_offset,,,0.8834442048162385,,,,0.7965574019292079,-20.34425980707921
estimate,ok,spillover_joint,ALL,PPML_raw_count,serious_inj,log_spillover_commuters,-0.004979045827037757,0.0032350597184376503,0.12378249465002278,1502535.0,log_population_offset,,,0.8834442048162385,,,,0.9950333290747162,-0.49666709252838004
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,serious_per_100k,night_alert,-0.03484923817072358,0.02466039129957637,0.18796901648653996,1494865.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,crashes_per_100k,night_alert,0.0218977121128527,0.10559265524546123,0.8416177002145431,169476.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.004511432022567764,0.007457984955222856,0.5643231224750282,169476.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,PPML_raw_count,crashes,night_alert,0.0023280934032406837,0.03070652688233019,0.9395642594943592,169476.0,log_population_offset,,,0.13498666477849372,,,,1.0023308055169642,0.2330805516964185
estimate,ok,spillover_joint,CA,PPML_raw_count,crashes,log_spillover_commuters,-0.001617073326514025,0.002584979351278261,0.5316001192932902,169476.0,log_population_offset,,,0.13498666477849372,,,,0.9983842334320879,-0.16157665679120692
estimate,ok,direct_vs_clean,CA,WLS_TWFE,crashes_per_100k,night_alert,-0.23328651006240575,0.28854583524624694,0.4454120406711852,166663.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,fatals_per_100k,night_alert,-0.004390672196921933,0.0029706696132451456,0.18293192756270882,169476.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,fatals_per_100k,log_spillover_commuters,0.0004211967313791019,0.0003178122917149899,0.2266892363878581,169476.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,CA,PPML_raw_count,fatals,night_alert,-0.11433834581553703,0.10924781361461953,0.29528585852722955,169476.0,log_population_offset,,,0.8662229460218556,,,,0.8919561152028008,-10.804388479719918
estimate,ok,spillover_joint,CA,PPML_raw_count,fatals,log_spillover_commuters,0.009705690023597613,0.007965491085407247,0.22304646254183869,169476.0,log_population_offset,,,0.8662229460218556,,,,1.0097529429834828,0.9752942983482837
estimate,ok,direct_vs_clean,CA,WLS_TWFE,fatals_per_100k,night_alert,-0.027128985897375547,0.04518501607625642,0.5671628799507669,166663.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,DE,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.12648623916295476,0.06364080788381785,0.1852148479121003,12051.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,DE,PPML_raw_count,crashes,log_spillover_commuters,-0.012396793541666553,0.006481345018448622,0.055787952948567865,12051.0,log_population_offset,,,0.0,,,,0.9876797301608086,-1.2320269839191433
estimate,ok,spillover_joint,FL,WLS_TWFE,crashes_per_100k,log_spillover_commuters,0.02276882550723764,0.016008688002157486,0.22801483326636296,122342.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,FL,PPML_raw_count,crashes,log_spillover_commuters,0.006747293539714302,0.002140461248631864,0.001620111235987709,122342.0,log_population_offset,,,0.1920517892465384,,,,1.006770107807426,0.677010780742604
estimate,ok,spillover_joint,FL,WLS_TWFE,fatals_per_100k,log_spillover_commuters,-0.0016900279843156945,0.0010665981792499974,0.18825563753527375,122342.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,FL,PPML_raw_count,fatals,log_spillover_commuters,-0.046075710872769404,0.02675173122062483,0.08500703806383791,122141.0,log_population_offset,,,0.9060911216099132,,,,0.954969657867372,-4.5030342132628025
estimate,ok,spillover_joint,FL,WLS_TWFE,serious_per_100k,night_alert,-0.07138541119742396,0.01001621226626805,0.0020491456034064104,122342.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,FL,WLS_TWFE,serious_per_100k,log_spillover_commuters,0.0019066758389643652,0.00527426352461584,0.7360079729579356,122342.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,FL,PPML_raw_count,serious_inj,night_alert,-0.3010892395027389,0.04279927295026506,1.993738507621856e-12,122342.0,log_population_offset,,,0.6796357751221984,,,,0.7400117315210665,-25.99882684789335
estimate,ok,spillover_joint,FL,PPML_raw_count,serious_inj,log_spillover_commuters,0.00580725518209523,0.01950483155805109,0.7659060480093332,122342.0,log_population_offset,,,0.6796357751221984,,,,1.0058241499767653,0.582414997676528
estimate,ok,spillover_joint,HI,WLS_TWFE,fatals_per_100k,night_alert,-0.013556906921732366,0.02606912029611363,0.6389754788686404,7300.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,HI,WLS_TWFE,fatals_per_100k,log_spillover_commuters,-0.0002685298082073562,0.0048900057075786825,0.9596594548955459,7300.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,HI,PPML_raw_count,fatals,log_spillover_commuters,-0.0036382808847603277,0.18567233358827817,0.9843663171178916,1380.0,log_population_offset,,,0.9486301369863014,,,,0.9963683296397262,-0.36316703602737865
estimate,ok,spillover_joint,IA,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.003263270278063075,0.02528720950912158,0.9005049101783376,325413.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,crashes,log_spillover_commuters,0.0024228360844537047,0.005912931499089326,0.6819878089262701,325413.0,log_population_offset,,,0.508403167666934,,,,1.002425773523632,0.24257735236319355
estimate,ok,spillover_joint,IA,WLS_TWFE,fatals_per_100k,log_spillover_commuters,0.00016139395737345841,0.0009182574532729224,0.8648490669644684,325413.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,fatals,log_spillover_commuters,0.004924850672528419,0.026326247923689563,0.8516057651223421,181170.0,log_population_offset,,,0.9914539369969854,,,,1.0049369976821514,0.49369976821513895
estimate,ok,spillover_joint,IA,WLS_TWFE,serious_per_100k,log_spillover_commuters,4.819483722511958e-05,0.003077311813307381,0.987888104656562,325413.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,serious_inj,log_spillover_commuters,0.0019785567221888476,0.03065261044268579,0.9485340954960493,304623.0,log_population_offset,,,0.9676595587760783,,,,1.001980515357084,0.19805153570839895
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.1341505214394476,0.04273551938911611,0.1963333723021008,8034.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,crashes,log_spillover_commuters,-0.03619289717822888,0.010598473422642751,0.0006380166841200019,8034.0,log_population_offset,,,0.0011202389843166542,,,,0.9644542350381556,-3.554576496184436
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,fatals_per_100k,log_spillover_commuters,0.003671202650837092,0.004423945425914322,0.5590275650264052,8034.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,fatals,log_spillover_commuters,0.1617424634876973,0.2029882286285975,0.4255630661174825,906.0,log_population_offset,,,0.9414986308190192,,,,1.1755574533666449,17.555745336664486
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.026485860715501033,0.017028551063206644,0.3637574972581612,8034.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,serious_inj,log_spillover_commuters,-0.08550349747626182,0.055522993885381976,0.12356875250179766,5162.0,log_population_offset,,,0.5943490166791138,,,,0.918049932190699,-8.195006780930104
estimate,ok,spillover_joint,IL,WLS_TWFE,crashes_per_100k,night_alert,-0.6489491654177652,0.7508994982388044,0.4160912547497937,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,crashes_per_100k,log_spillover_commuters,0.007959421528976425,0.009721760498309273,0.4399233045995494,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,crashes,night_alert,-0.15299996059881632,0.1179006926631439,0.19438976802234942,298044.0,log_population_offset,,,0.319020010468253,,,,0.8581297556227212,-14.18702443772788
estimate,ok,spillover_joint,IL,PPML_raw_count,crashes,log_spillover_commuters,0.0021118861263897492,0.0018966553017492407,0.26550269969158746,298044.0,log_population_offset,,,0.319020010468253,,,,1.002114117728582,0.21141177285819435
estimate,ok,direct_vs_clean,IL,WLS_TWFE,crashes_per_100k,night_alert,-0.6965047007897953,0.5649154075935475,0.2573953288841697,296239.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,fatals_per_100k,night_alert,-0.023577384572523112,0.044461073767757125,0.6123084413213316,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,fatals_per_100k,log_spillover_commuters,-0.0004767139336316344,0.0004065368059978879,0.2793029580946138,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,fatals,night_alert,-0.8414567222533801,1.1011420945294155,0.44476758255533655,278256.0,log_population_offset,,,0.9751110574277624,,,,0.43108209893368415,-56.89179010663159
estimate,ok,spillover_joint,IL,PPML_raw_count,fatals,log_spillover_commuters,-0.011151781412223874,0.018691662147778995,0.5507624749150022,278256.0,log_population_offset,,,0.9751110574277624,,,,0.9889101692016914,-1.1089830798308609
estimate,ok,direct_vs_clean,IL,WLS_TWFE,fatals_per_100k,night_alert,0.03559292687931755,0.012469327702556895,0.024532072396867832,296239.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,serious_per_100k,night_alert,-0.021589549023727953,0.04810966017736176,0.6671696635517967,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.0010411345025693431,0.0015898415210102669,0.5334732660713772,298044.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,serious_inj,night_alert,-0.16573041534410785,0.15837149725704947,0.29534585278239467,298044.0,log_population_offset,,,0.8814134825730429,,,,0.8472746156396526,-15.272538436034743
estimate,ok,spillover_joint,IL,PPML_raw_count,serious_inj,log_spillover_commuters,-0.00526425417579494,0.005420032139645982,0.3314193954334794,298044.0,log_population_offset,,,0.8814134825730429,,,,0.9947495777280224,-0.5250422271977584
estimate,ok,direct_vs_clean,IL,WLS_TWFE,serious_per_100k,night_alert,-0.12759854870900686,0.18641004114564755,0.5156723333859219,296239.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,crashes_per_100k,night_alert,0.5843879533618177,0.20773555061489246,0.10654633689202253,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.06837672369799631,0.03884169998665846,0.22040688352918147,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,crashes,night_alert,0.06292417800697524,0.012910259064625314,1.0937921026688002e-06,109500.0,log_population_offset,,,0.1438082191780822,,,,1.064946089835059,6.4946089835058896
estimate,ok,spillover_joint,NC,PPML_raw_count,crashes,log_spillover_commuters,-0.00692989381567066,0.0048212589003359995,0.1506151909681548,109500.0,log_population_offset,,,0.1438082191780822,,,,0.9930940625282285,-0.6905937471771484
estimate,ok,direct_vs_clean,NC,WLS_TWFE,crashes_per_100k,night_alert,0.08040352599711946,0.7362356648896389,0.9230068342460325,108919.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,fatals_per_100k,night_alert,0.015048500422790934,0.008164231507327731,0.20661728747480512,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,fatals_per_100k,log_spillover_commuters,-0.0010404717655037087,0.0010198443601426364,0.41494310029370607,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,fatals,night_alert,0.4004317515621334,0.2418389484028773,0.09776666627862118,108600.0,log_population_offset,,,0.9573789954337899,,,,1.492468934350001,49.2468934350001
estimate,ok,spillover_joint,NC,PPML_raw_count,fatals,log_spillover_commuters,-0.03867216599145849,0.04046399313190699,0.3392147334608011,108600.0,log_population_offset,,,0.9573789954337899,,,,0.9620660554243566,-3.7933944575643364
estimate,ok,direct_vs_clean,NC,WLS_TWFE,fatals_per_100k,night_alert,0.03282351303986301,0.06611229376378615,0.6687543058942318,108919.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,serious_per_100k,night_alert,0.042983395797879735,0.04366684937189601,0.4287213200876496,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.009110742848569655,0.0029250249573897448,0.08945903241500708,109500.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,serious_inj,night_alert,0.378539860650161,0.37738787728893597,0.3158355224330065,109500.0,log_population_offset,,,0.8892876712328767,,,,1.4601510082065492,46.01510082065492
estimate,ok,spillover_joint,NC,PPML_raw_count,serious_inj,log_spillover_commuters,-0.07513933965315799,0.03785806023870747,0.04717066225212441,109500.0,log_population_offset,,,0.8892876712328767,,,,0.9276142238788498,-7.238577612115016
estimate,ok,direct_vs_clean,NC,WLS_TWFE,serious_per_100k,night_alert,-0.10981754065868946,0.35487329661046135,0.7862395622755929,108919.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NY,WLS_TWFE,crashes_per_100k,night_alert,0.5000829317047694,0.5107735173723921,0.4307904596318899,67890.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NY,WLS_TWFE,crashes_per_100k,log_spillover_commuters,0.06957962127376473,0.032575121319384386,0.16619378354648484,67890.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,NY,PPML_raw_count,crashes,night_alert,0.059495197641356586,0.07186671108248499,0.4077527677631321,67890.0,log_population_offset,,,0.03857711003093239,,,,1.0613006642208802,6.130066422088021
estimate,ok,spillover_joint,NY,PPML_raw_count,crashes,log_spillover_commuters,0.012613424974086625,0.003560435037208077,0.0003961070638287545,67890.0,log_population_offset,,,0.03857711003093239,,,,1.012693309739032,1.2693309739032044
