spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
daily_lead_lag,total_fatals,cross_post_3_5,ok,5.98598792259738e-05,8.505574590315867e-05,0.48490564688941673,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,cross_post_6_8,ok,-0.00011869454933343163,0.00013945087267709858,0.39882281202706127,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,cross_post_9_12,ok,-0.00014006714031197803,7.938384563580207e-05,0.08389267975055009,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,cross_post_13_18,ok,-8.263363393181703e-05,5.872155408905324e-05,0.16567657251029771,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-1d,fatal_crashes,own_driver_distance,ok,-3.3567120907204115e-05,0.0005459434188071099,0.9512233749454162,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-1d,fatal_crashes,cross_driver_distance,ok,1.4891565041463773e-05,0.00012700036286701177,0.9071364359494964,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-2d,fatal_crashes,own_driver_distance,ok,0.0003662794609402005,0.0006446991724281124,0.5725343057712569,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-2d,fatal_crashes,cross_driver_distance,ok,-4.354719183676467e-05,0.000102690956905349,0.6733775601619295,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-7d,fatal_crashes,own_driver_distance,ok,0.00036659015093953927,0.0004546280166817717,0.42393637129862927,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_shift_-7d,fatal_crashes,cross_driver_distance,ok,-0.00010582781858476752,0.0001541222846765878,0.49554112287380603,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_daytime_alerts,fatal_crashes,own_driver_distance,ok,0.0005185909042133007,0.0002928820347883499,0.08283984151119446,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
placebo_daytime_alerts,fatal_crashes,cross_driver_distance,ok,1.7110964237966655e-06,8.43658593149035e-05,0.9839008927074628,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
sensitivity_county_same,fatal_crashes,own_driver_distance,ok,-0.0022959817085399115,0.0017989674061895207,0.2078736835778438,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
sensitivity_county_same,fatal_crashes,cross_driver_distance,ok,0.0007974946074289285,0.00030748546439043634,0.012489125996439032,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
sensitivity_statewide_same,fatal_crashes,own_driver_distance,ok,0.0007897119307023718,0.00046362888230876885,0.09484230496288562,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
sensitivity_statewide_same,fatal_crashes,cross_driver_distance,ok,0.00019244260641337253,0.0001755872122020019,0.2784388072351052,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
