label,has_weather,coef,se,pval,n_obs
Baseline count,False,0.004386271287575199,0.0037214687120669097,0.24412038059780636,7234005
Baseline count,True,0.0045280300404340595,0.003773605147376818,0.2360589405778213,7177182
TWFE2 count,False,0.004768474566029715,0.004891094347411256,0.334288347870576,7232350
TWFE2 count,True,0.004846157024973894,0.004930344962969772,0.33057324453056236,7175540
WLS comb/100k,False,0.017472648418332234,0.009277084824252803,0.06546619128000156,7229634
WLS comb/100k,True,0.017599233721213123,0.009316819705788916,0.06494499660308212,7177182
