model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y
log(pop reached) [count],0.0002953417199194001,0.0002271740188770395,0.19953893692527327,-0.0001609507257286279,0.0007516341655674281,7234005,51,2.767690637783815e-07,0.056542399403926316
log(pop reached) [comb/100k],0.0013134938372072458,0.0006374402474593898,0.04456524469917602,3.31574197529245e-05,0.002593830254661567,7229634,51,5.848177658807074e-07,0.06872308220297055
