record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,spillover_joint,FARS_NATIONAL,WLS_TWFE,fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9725467401502148,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_NATIONAL,PPML_raw_count,fatals,,,,,,,,12593295.0,12557142.0,0.9725467401502148,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_NATIONAL,WLS_TWFE,fatals_per_100k,,,,,,,,12526681.0,12526681.0,0.972847716007137,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_NATIONAL,PPML_raw_count,fatals,,,,,,,,12526681.0,12490554.0,0.972847716007137,night_alert,night_alert,,,,,,,
model_count_summary,,,,,,,,,,,,,,,,,,,,,4.0,4.0,6.0,6.0
