record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,spillover_joint,FARS_WINDOW_W2_FATALS,WLS_TWFE,w2_fatals_per_100k,night_alert,-0.0014280871370927954,0.0014242339404129233,0.316080409242143,12593295.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FARS_WINDOW_W2_FATALS,WLS_TWFE,w2_fatals_per_100k,spillover_share_10pp,0.0005079631781041946,0.0006522695904782344,0.43617835283959105,12593295.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FARS_WINDOW_W2_FATALS,PPML_raw_count,w2_fatals,night_alert,-0.22781185893627895,0.25246845194476036,0.36687738539745096,12376377.0,log_population_offset,county+date,,,0.9928800206776701,,,,0.796274057591666,-20.372594240833397
estimate,ok,spillover_joint,FARS_WINDOW_W2_FATALS,PPML_raw_count,w2_fatals,spillover_share_10pp,0.076113583489398,0.09324392738176777,0.4143373708450486,12376377.0,log_population_offset,county+date,,,0.9928800206776701,,,,1.079085133451611,7.9085133451610945
estimate,ok,direct_vs_clean,FARS_WINDOW_W2_FATALS,WLS_TWFE,w2_fatals_per_100k,night_alert,-0.0006395306062143918,0.0010537436870284506,0.5439526997183903,12526681.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,FARS_WINDOW_W2_FATALS,PPML_raw_count,w2_fatals,night_alert,-0.08578809766426326,0.15596001370029614,0.5822749995589909,12309949.0,log_population_offset,county+date,,,0.9929508063628346,,,,0.9177886921836437,-8.221130781635633
estimate,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,WLS_TWFE,w2_serious_per_100k,night_alert,0.0003551229860562574,0.0009045758670523651,0.6946526616300894,12593295.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,WLS_TWFE,w2_serious_per_100k,spillover_share_10pp,0.0003666954907144189,0.0004870656629477178,0.4515866011613807,12593295.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,PPML_raw_count,w2_serious,night_alert,0.2298422359237455,0.42040623670508653,0.584574808447492,10723999.0,log_population_offset,county+date,,,0.9985475604279896,,,,1.2584014637236787,25.84014637236787
estimate,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,PPML_raw_count,w2_serious,spillover_share_10pp,0.10448487680735787,0.15840734023321226,0.5095130050764165,10723999.0,log_population_offset,county+date,,,0.9985475604279896,,,,1.1101386048992843,11.01386048992843
estimate,ok,direct_vs_clean,FARS_WINDOW_W2_SERIOUS,WLS_TWFE,w2_serious_per_100k,night_alert,0.0008675774371313471,0.0008805645182608756,0.32457664679161846,12526681.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,FARS_WINDOW_W2_SERIOUS,PPML_raw_count,w2_serious,night_alert,0.38382297781822416,0.3133313923980434,0.22058481392151208,10654182.0,log_population_offset,county+date,,,0.9985589957946562,,,,1.46788557037491,46.78855703749101
estimate,ok,spillover_joint,FARS_WINDOW_W3_FATALS,WLS_TWFE,w3_fatals_per_100k,night_alert,-0.002107790802250783,0.0013874901936236175,0.1288283203630427,12593295.0,rate_per_100k_population_weighted,county+date,,,,,,,,
