offset,status,n,pct_change,ci_low,ci_high,pvalue
-23,ok,7000,1.071254523700893,-4.820714668937775,7.327959602370382,0.7280546561939572
-22,ok,6919,-0.5808502472895105,-8.804468434209456,8.38433822189204,0.8947907256697591
-21,ok,6860,7.124288674505808,0.44507019739166154,14.24764999882344,0.03615319349419854
-20,ok,6968,-0.3106758624948025,-6.777582352387157,6.60484460463957,0.9275480100229738
-19,ok,6887,1.3433723659564079,-8.001949778558304,11.638008607612749,0.7868970925231928
-18,ok,6770,5.5195123674876445,-2.5227644892844014,14.225310473114373,0.18408438985103537
-17,ok,6812,7.977946241502543,1.1691165196708875,15.24502017634839,0.020900860228654228
-16,ok,6703,4.3054305819743455,-0.6622869394396713,9.521575579844566,0.09043556251426388
-15,ok,6587,3.0267872972073118,-0.5489429887251318,6.731081798161487,0.09801232094702428
-14,ok,6610,6.935242245423279,-0.5078053467464705,14.935106959301713,0.06850218617090986
-13,ok,6665,2.8939450162554614,-1.521478860218084,7.507340671582807,0.20235641729429465
-12,ok,6501,13.293262687008811,6.480836102850063,20.54153442099085,7.99141379668189e-05
-11,ok,6508,4.023830157422692,-5.625548894437527,14.659816442445317,0.427039625681795
-10,ok,6457,1.5980082270834473,-5.871065017721411,9.659747851750788,0.6840517049944759
-9,ok,6483,9.253678210814797,0.45733054237449,18.820260683289014,0.038777141301145734
-8,ok,6598,-2.483154847115099,-9.366234090235071,4.922652094578472,0.5007574258318286
-7,ok,6508,2.4335292432533295,-1.024760330604424,6.0126547637235905,0.1700129515977553
-6,ok,6652,-2.5051898850928733,-7.970217825919168,3.284369198679271,0.38867677680810964
-5,ok,6672,1.4360314066196755,-3.7896999268014597,6.945602078950697,0.5972488798485116
-4,ok,6738,7.571437436899875,-0.3440541774157535,16.11564224016906,0.06125933509681625
-3,ok,6947,-2.021391571865372,-11.126348928469,8.01635348352252,0.681531713591744
-2,ok,6954,3.333889042966609,-2.399554354167799,9.404138004569763,0.26014500345637437
0,ok,6952,6.107304694893134,-1.5853236122419956,14.401230821050515,0.12262928780483429
1,ok,6965,3.5128423059729075,-6.546679863387417,14.655193700960801,0.5080256373994052
2,ok,7127,4.620079273505162,-2.1363014013535575,11.842911558892254,0.18483725966308517
3,ok,6990,-1.0175770713723997,-7.291192463641161,5.6805745773321314,0.7594864596630302
4,ok,6866,-2.14579086972847,-10.668978789740969,7.190605399809802,0.6408325453510384
5,ok,6886,3.066860168174479,-4.351671037580418,11.060776284965135,0.4280096309547572
6,ok,6693,3.970219729952107,-1.908293751243939,10.201025184344825,0.18980634984120348
7,ok,6839,0.823602245219246,-5.821032707925166,7.937037981914652,0.8135800673843279
8,ok,6756,4.415647965765945,-2.597886543704453,11.934198891924286,0.22321952337407458
9,ok,6560,2.522395326980087,-3.7357948467475866,9.187433967260716,0.4382218324056484
10,ok,6531,1.9427153934726604,-7.546624680460379,12.406033699433738,0.6995168363227489
11,ok,6572,3.789156118319781,-2.517448022780866,10.503764102014168,0.24490250684064385
12,ok,6558,7.856704853968721,3.1114245479743063,12.820367218800687,0.0009851276448222812
13,ok,6406,7.766798426205157,-0.20148047816207493,16.37129386967533,0.05632151842303501
14,ok,6409,8.533177997215757,-0.13101514955454752,17.94903837077282,0.05371666077122117
15,ok,6534,7.898521349656784,1.1640798797188046,15.081271171392597,0.02077879603084476
16,ok,6566,16.347171757400723,9.865725508389577,23.21098607693095,2.2513077846397778e-07
17,ok,6566,8.215174056322748,3.3998182709664704,13.254782183001335,0.0006748212312983615
18,ok,6510,9.463375632613879,4.708648991325237,14.434010182668056,6.586186442558706e-05
19,ok,6738,5.920512399014299,1.1947906058397129,10.86692190084253,0.013509765129652296
20,ok,6752,1.0100860056470928,-4.153061839136218,6.451365798916342,0.7073355552657596
21,ok,6879,-0.609469104487681,-5.803353230916441,4.870799232462919,0.823343653951847
22,ok,6912,6.841913785183618,1.0959618737569343,12.914446133222146,0.018952295047397705
23,ok,6901,11.329933660192125,3.647163090324179,19.582184010011126,0.003262018999468319
