record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,spillover_joint,ALL,WLS_TWFE,crashes_per_100k,,,,,,,2408047.0,2408047.0,0.31224473608696174,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,ALL,PPML_raw_count,crashes,,,,,,,2408047.0,2408047.0,0.31224473608696174,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,ALL,WLS_TWFE,crashes_per_100k,,,,,,,2392418.0,2392418.0,0.31368264241449445,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,ALL,WLS_TWFE,fatals_per_100k,,,,,,,2349647.0,2349647.0,0.9629944412926708,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,ALL,PPML_raw_count,fatals,,,,,,,2349647.0,2330275.0,0.9629944412926708,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,ALL,WLS_TWFE,fatals_per_100k,,,,,,,2334655.0,2334655.0,0.9635029586812612,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,ALL,WLS_TWFE,serious_per_100k,,,,,,,1502791.0,1502791.0,0.8834442048162385,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,ALL,PPML_raw_count,serious_inj,,,,,,,1502791.0,1502535.0,0.8834442048162385,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,ALL,WLS_TWFE,serious_per_100k,,,,,,,1494868.0,1494865.0,0.8846419884565059,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,CA,WLS_TWFE,crashes_per_100k,,,,,,,169476.0,169476.0,0.13498666477849372,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,CA,PPML_raw_count,crashes,,,,,,,169476.0,169476.0,0.13498666477849372,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,CA,WLS_TWFE,crashes_per_100k,,,,,,,166663.0,166663.0,0.13646700227405004,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,CA,WLS_TWFE,fatals_per_100k,,,,,,,169476.0,169476.0,0.8662229460218556,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,CA,PPML_raw_count,fatals,,,,,,,169476.0,169476.0,0.8662229460218556,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,CA,WLS_TWFE,fatals_per_100k,,,,,,,166663.0,166663.0,0.8677930914480119,night_alert,night_alert,,,,,,,
fit_status,skipped,spillover_joint,CA,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,CA,PPML_raw_count,serious_inj,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,CA,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
